VariableName,VariableAcronym,VariableType
annual_change_passenger_train__2021_30,TRAIN_COL6,Float
annual_change_passenger_train__2031_40,TRAIN_COL7,Float
annual_change_passenger_train__2041_50,TRAIN_COL8,Float
cf_passenger_train__metropolitan,TRAIN_COL9,Float
cf_passenger_train__city,TRAIN_COL10,Float
cf_passenger_train__suburban,TRAIN_COL11,Float
cf_passenger_train__town,TRAIN_COL12,Float
cf_passenger_train__rural,TRAIN_COL13,Float
vehicle_km_per_capita_rail_freight,RAIL_TRN_COL1,Float
ef_diesel_rail_freight,RAIL_TRN_COL2,Float
energy_consumption_electric_rail_freight,RAIL_TRN_COL3,Float
share_of_electric_engines_rail_freight,RAIL_TRN_COL4,Float
annual_change_rail_freight__2021_30,RAIL_TRN_COL5,Float
annual_change_rail_freight__2031_40,RAIL_TRN_COL6,Float
annual_change_rail_freight__2041_50,RAIL_TRN_COL7,Float
cf_rail_freight__metropolitan,RAIL_TRN_COL8,Float
cf_rail_freight__city,RAIL_TRN_COL9,Float
cf_rail_freight__suburban,RAIL_TRN_COL10,Float
cf_rail_freight__town,RAIL_TRN_COL11,Float
cf_rail_freight__rural,RAIL_TRN_COL12,Float
average_load_rail_freight,RAIL_TRN_COL13,Float
vehicle_km_per_capita_road_freight,ROAD_TRN_COL1,Float
road_transport_emission_factor,ROAD_TRN_COL2,Float
annual_change_road_freight__2021_30,ROAD_TRN_COL3,Float
annual_change_road_freight__2031_40,ROAD_TRN_COL4,Float
annual_change_road_freight__2041_50,ROAD_TRN_COL5,Float
cf_road_freight__metropolitan,ROAD_TRN_COL6,Float
cf_road_freight__city,ROAD_TRN_COL7,Float
cf_road_freight__suburban,ROAD_TRN_COL8,Float
cf_road_freight__town,ROAD_TRN_COL9,Float
cf_road_freight__rural,ROAD_TRN_COL10,Float
propulsion_share_road_freight__petrol_including_hybrids,ROAD_TRN_COL11,Float
propulsion_share_road_freight__lpg,ROAD_TRN_COL12,Float
propulsion_share_road_freight__diesel_including_hybrids,ROAD_TRN_COL13,Float
propulsion_share_road_freight__natural_gas,ROAD_TRN_COL14,Float
propulsion_share_road_freight__electricity,ROAD_TRN_COL15,Float
propulsion_share_road_freight__alternative_energy,ROAD_TRN_COL16,Float
propulsion_share_road_freight__bioethanol,ROAD_TRN_COL17,Float
propulsion_share_road_freight__biodiesel,ROAD_TRN_COL18,Float
propulsion_share_road_freight__cng,ROAD_TRN_COL19,Float
ef_street_driving_road_freight__petrol_including_hybrids,ROAD_TRN_COL20,Float
ef_street_driving_road_freight__lpg,ROAD_TRN_COL21,Float
ef_street_driving_road_freight__diesel_including_hybrids,ROAD_TRN_COL22,Float
ef_street_driving_road_freight__natural_gas,ROAD_TRN_COL23,Float
