,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
Italy,0.3000000000,0.2000000000,0.2000000000,308.9597069597,-2.7000000000,-3.9000000000,-3.9000000000,1762.0233173516,12.0000000000,0.4000000000,0.5000000000,0.5000000000,0.5000000000,0.3000000000,94.5000000000,4.7000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.5000000000,0.8000000000,1.2000000000,1.4000000000,1.6000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,12444.7946011288,1.7100000000,0.6000000000,0.4000000000,0.4000000000,0.1766203186,0.1748362399,5.9709143587,2.2390520043,8.2770516398,42.1543579730,0.7334290460,,40.5155270303,0.0425826711,,,,,,0.0143689552,0.0527163217,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,3.2180607021,18.0000000000,57.9250926371,1.4000000000,0.9000000000,0.9000000000,3.2180607021,18.0000000000,4708.5459340659,1.4000000000,0.9000000000,0.9000000000,936.4711334921,179.9000000000,3276.1653479854,,50.0000000000,1.4000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,,,,7316.9351721612,1.2000000000,0.7000000000,0.7000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,,500.0000000000,1.1000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,0.9000000000,0.7000000000,0.7000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Latvia,-1.4000000000,-0.6000000000,-0.6000000000,1357.1428571429,1.6000000000,-2.1000000000,-2.1000000000,1161.7265276536,12.0000000000,0.6000000000,0.4000000000,0.4000000000,0.5000000000,0.0000000000,99.4000000000,0.2000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.7000000000,1.2000000000,1.5000000000,1.7000000000,1.8000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,8228.6259277476,1.4300000000,0.7000000000,0.4000000000,0.4000000000,0.1948835637,0.1850412600,2.6202622968,0.0283424802,6.3198577723,29.6959624849,0.0143000696,0.0000000000,57.6470588235,0.0029630775,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5864832135,0.0847697818,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,2.6000000000,1.4000000000,1.4000000000,3.7192308214,18.0000000000,22040.0000000000,2.6000000000,1.4000000000,1.4000000000,329.5966719187,179.9000000000,11355.8510711284,,60.0306581615,2.6000000000,1.4000000000,1.4000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,502.7733756626,,,13528.4339582795,2.3000000000,1.2000000000,1.2000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,179.4611838796,500.0000000000,1.8000000000,1.1000000000,1.1000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.5000000000,1.0000000000,1.0000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Liechtenstein,0.1000000000,0.1000000000,0.1000000000,0.0000000000,-3.5000000000,-4.5000000000,-4.5000000000,1935.7159196896,12.0000000000,0.6000000000,0.5000000000,0.5000000000,0.1000000000,0.0000000000,98.5000000000,1.3000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.2000000000,0.4000000000,0.9000000000,1.2000000000,1.5000000000,1.9000000000,2.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,,1.4900000000,0.8000000000,0.5000000000,0.5000000000,0.2033410148,0.1848632647,0.0000000000,0.1076461378,1.3276356994,62.6141701461,2.0942066806,,32.5058716075,0.1272181628,,0.0000000000,0.0000000000,0.0000000000,0.2152922756,0.0032620042,1.0046972860,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,0.0000000000,0.0000000000,1.6000000000,1.2000000000,1.2000000000,0.0000000000,18.0000000000,0.0000000000,1.6000000000,1.2000000000,1.2000000000,0.0000000000,179.9000000000,1323.5400000000,,50.0000000000,1.6000000000,1.2000000000,1.2000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,,,,0.0000000000,1.9000000000,1.1000000000,1.1000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,,500.0000000000,1.5000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.0000000000,0.7000000000,0.7000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Lithuania,-1.8000000000,-0.7000000000,-0.7000000000,134.6715686275,-5.4000000000,-1.4000000000,-1.4000000000,1031.8215536907,12.0000000000,0.2000000000,0.3000000000,0.3000000000,0.4000000000,1.0000000000,95.9000000000,2.6000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.0000000000,0.1000000000,0.3000000000,0.5000000000,0.6000000000,0.7000000000,0.8000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,11001.2364876584,2.0000000000,0.7000000000,0.1000000000,0.1000000000,0.1948835637,0.1850412600,0.0036565994,0.0026649793,7.1169200773,21.4845669812,0.0000000000,1.2995182585,62.9814548432,0.0000000000,0.0006197626,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.0241416133,0.0864568853,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,1.2000000000,0.9000000000,0.9000000000,0.0000000000,18.0000000000,2456.4094117647,1.2000000000,0.9000000000,0.9000000000,126.6239340697,179.9000000000,2413.7515009997,,24.6952531192,1.2000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,962.5030000751,,,8804.6223532871,1.3000000000,1.3000000000,1.3000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,463.6791631946,500.0000000000,0.6000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,0.6000000000,0.9000000000,0.9000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Luxembourg,2.2000000000,1.4000000000,1.4000000000,204.6134020619,0.9000000000,0.0000000000,0.0000000000,1935.7159196896,12.0000000000,1.5000000000,1.2000000000,1.2000000000,0.1000000000,0.0000000000,99.9000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.5000000000,0.4000000000,0.6000000000,0.9000000000,1.0000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,12765.4988910729,1.5100000000,2.0000000000,1.6000000000,1.6000000000,0.1925750650,0.1819335890,0.0677187338,0.0284280009,1.4717846313,40.9793099623,1.1627745729,,54.9240533245,,,,,,,0.8586180756,0.5073126988,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,2.5000000000,1.7000000000,1.7000000000,16.8050457150,18.0000000000,3936.7618556701,2.5000000000,1.7000000000,1.7000000000,697.9345548501,179.9000000000,2616.6967010309,,50.0000000000,2.5000000000,1.7000000000,1.7000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,67.4475157626,,,6737.2914484537,3.2000000000,2.7000000000,2.7000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,835.6537173286,500.0000000000,1.6000000000,1.4000000000,1.4000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,316.6700801916,29.0000000000,1.6000000000,1.3000000000,1.3000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Malta,0.4000000000,0.1000000000,0.1000000000,443.4418604651,-1.2000000000,-0.5000000000,-0.5000000000,1115.0423678963,12.0000000000,0.3000000000,0.1000000000,0.1000000000,0.6000000000,0.0000000000,99.4000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.5000000000,0.8000000000,1.0000000000,1.4000000000,1.7000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,5270.8573058485,1.5100000000,0.4000000000,0.3000000000,0.3000000000,0.1626821320,0.1743212771,0.0016147367,0.0000000000,0.8131814189,66.1993618560,0.6923991112,0.0881646256,31.3762724125,0.0174391567,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4941094404,0.0000000000,0.3174572418,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,18.0000000000,8975.2632558140,0.0000000000,0.0000000000,0.0000000000,0.0000000000,179.9000000000,4126.0925581395,,50.0000000000,0.0000000000,0.0000000000,0.0000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,0.0000000000,,,8063.9835348838,0.0000000000,0.0000000000,0.0000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,,500.0000000000,1.6000000000,1.5000000000,1.5000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,0.0000000000,0.0000000000,0.0000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Netherlands,0.2000000000,-0.1000000000,-0.1000000000,408.1779661017,-1.1000000000,-2.2000000000,-2.2000000000,308.4642846700,12.0000000000,0.7000000000,0.6000000000,0.6000000000,1.3000000000,0.0000000000,92.1000000000,6.6000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.4000000000,0.7000000000,1.1000000000,1.5000000000,1.9000000000,2.3000000000,2.6000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,8446.9117123571,1.3300000000,0.6000000000,0.4000000000,0.4000000000,0.1742400444,0.1768532894,1.2907215010,0.1100668289,2.6350627140,78.0259486195,2.2243709501,0.8706050545,13.3868191550,0.0718519849,0.1502788079,0.0002019575,0.0385065603,0.0000000000,0.0000000000,0.0000000000,1.1955658664,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,1.6547055773,18.0000000000,29.7847003920,1.3000000000,0.9000000000,0.9000000000,1.6547055773,18.0000000000,8669.7000000000,1.3000000000,0.9000000000,0.9000000000,1081.2332639883,179.9000000000,3903.2247457627,,50.0000000000,1.3000000000,0.9000000000,0.9000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,26.9452708062,,,7868.0926016950,1.5000000000,0.8000000000,0.8000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,216.2014091425,500.0000000000,1.0000000000,0.5000000000,0.5000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,2585.5752209604,29.0000000000,1.0000000000,0.5000000000,0.5000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Norway,0.1000000000,0.1000000000,0.1000000000,0.0000000000,-3.5000000000,-4.5000000000,-4.5000000000,827.5690415848,12.0000000000,0.6000000000,0.5000000000,0.5000000000,1.3000000000,0.0000000000,93.6000000000,5.2000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.2000000000,0.4000000000,0.9000000000,1.2000000000,1.5000000000,1.9000000000,2.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,12671.3932276422,1.7000000000,0.8000000000,0.5000000000,0.5000000000,0.1915692309,0.1807891791,0.0000000000,0.0076062111,8.5554531963,33.6674081362,3.5262459986,3.5440047061,41.8521483139,0.0555938949,0.2436925576,0.0048640577,0.0000000000,0.0000000000,0.0000000000,0.0328731956,8.5101097318,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,5.1316588916,18.0000000000,92.3698600485,1.6000000000,1.2000000000,1.2000000000,5.1316588916,18.0000000000,0.0000000000,1.6000000000,1.2000000000,1.2000000000,697.2255098844,179.9000000000,1323.5400000000,,50.0000000000,1.6000000000,1.2000000000,1.2000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,,,,5600.6640000000,1.9000000000,1.1000000000,1.1000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,,500.0000000000,1.5000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.0000000000,0.7000000000,0.7000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Poland,-0.2000000000,-0.4000000000,-0.4000000000,794.7562425684,-1.6000000000,-7.6000000000,-7.6000000000,940.5552871574,12.0000000000,0.8000000000,0.3000000000,0.3,4.0000000000,0.8000000000,94.5000000000,0.8000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.0000000000,0.1000000000,0.2000000000,0.4000000000,0.6000000000,0.9000000000,1.2000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,5777.7793226071,1.9700000000,1.5000000000,0.9000000000,0.9000000000,0.1735544527,0.1752049161,11.7638432916,0.0197264612,13.8817440369,45.2082092623,0.0804896178,,26.9383104067,0.0095026394,,0.0000035352,0.0006504783,0.0004843235,0.0000000000,2.0786670060,0.0183689412,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,3.1949396730,18.0000000000,57.5089141135,3.9000000000,1.1000000000,1.1000000000,3.1949396730,18.0000000000,18470.1350772889,3.9000000000,1.1000000000,1.1000000000,556.1046364666,179.9000000000,8943.4016291840,,85.1010802004,3.9000000000,1.1000000000,1.1000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,195.3843386505,,,9183.0825726675,2.4000000000,0.9000000000,0.9000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,624.7657346056,500.0000000000,2.3000000000,1.1000000000,1.1000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,2.0348836672,29.0000000000,2.8000000000,1.4000000000,1.4000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Portugal,-0.4000000000,-0.4000000000,-0.5000000000,272.6415094340,-9.5000000000,-5.8000000000,-5.8000000000,786.6892019927,12.0000000000,1.2000000000,0.9000000000,0.9000000000,0.1000000000,0.0000000000,97.3000000000,2.6000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.4000000000,0.8000000000,1.2000000000,1.8000000000,2.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,9512.6067031102,1.5000000000,1.2000000000,0.6000000000,0.6000000000,0.1627777717,0.1732856148,1.0389010861,0.0015375852,1.3753247244,40.9694094714,0.6467987748,0.2682272131,55.0803894758,0.2357208534,0.0488047627,0.0000000000,0.0005245879,0.0000000000,0.0062046085,0.0000361785,0.3281206784,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,3.1720593618,18.0000000000,57.0970685122,1.9000000000,1.2000000000,1.2000000000,3.1720593618,18.0000000000,6608.8301886792,1.9000000000,1.2000000000,1.2000000000,443.7646311238,179.9000000000,3326.9187271191,,85.0746268657,1.9000000000,1.2000000000,1.2000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,34.1569035648,,,4248.7905773022,2.1000000000,0.9000000000,0.9000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,225.6793024506,500.0000000000,1.4000000000,0.7000000000,0.7000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,,29.0000000000,1.0000000000,0.5000000000,0.5000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Romania,-0.4000000000,-0.3000000000,-0.3000000000,364.2191780822,-7.6000000000,-6.5000000000,-6.5000000000,1066.3841551632,12.0000000000,0.8000000000,0.7000000000,0.7000000000,0.2000000000,0.1000000000,99.6000000000,0.1000000000,0.0000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.0000000000,0.1000000000,0.3000000000,0.5000000000,0.8000000000,1.1000000000,1.3000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,5596.0494247292,1.9800000000,2.0000000000,1.3000000000,1.3000000000,0.1700746896,0.1750023660,0.0002446632,0.0030654866,0.2215209822,52.2504125454,0.3327276239,,46.4948967564,0.4789211099,,,,,0.1778413966,0.0001007437,0.0402686921,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,12.6028707033,18.0000000000,226.8516726600,1.5000000000,1.4000000000,1.4000000000,12.6028707033,18.0000000000,9192.8920547945,1.5000000000,1.4000000000,1.4000000000,290.6776594283,179.9000000000,3625.4052054795,,50.0000000000,1.5000000000,1.4000000000,1.4000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,62.4478306725,,,7623.9015342466,2.4000000000,1.7000000000,1.7000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,105.4639263917,500.0000000000,2.5000000000,1.3000000000,1.3000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,710.8233672732,29.0000000000,1.7000000000,1.2000000000,1.2000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
Slovakia,-0.2000000000,-0.4000000000,-0.4000000000,348.1818181818,-4.8000000000,-2.8000000000,-2.8000000000,1216.2300793384,12.0000000000,2.3000000000,0.7000000000,0.7000000000,0.4000000000,0.0000000000,94.5000000000,2.5000000000,0.5000000000,2.0000000000,1.5000000000,1.0000000000,0.8000000000,0.5000000000,433.0192220148,470.6730674074,433.3722268154,649.0581599548,0.8220948411,261.9160061864,284.6913110722,262.1295246697,392.5893179685,0.9671704013,0.1000000000,0.2000000000,0.4000000000,0.6000000000,0.9000000000,1.2000000000,1.4000000000,0.0000000000,100.0000000000,10.0000000000,90.0000000000,20.0000000000,80.0000000000,70.0000000000,30.0000000000,100.0000000000,0.0000000000,5412.7575023540,1.9500000000,2.4000000000,0.8000000000,0.8000000000,0.1711108412,0.1733600000,2.0000000000,0.1000000000,,51.7000000000,0.4000000000,,44.3000000000,,,,,,,,0.1000000000,261.1347600000,96.5000000000,63.2160000000,233.3594949073,157.4078400000,,256.2080801178,165.1766400000,,0.0000000000,6.5850000000,1.3170000000,38.0000000000,225.8391600000,0.2000000000,175.0812400000,60.4000000000,42.3840000000,156.4589476106,105.5361600000,,159.2494506665,102.6676800000,,0.0000000000,4.4150000000,0.8830000000,27.0000000000,151.4168400000,0.2000000000,0.3000000000,0.7000000000,1.2000000000,1.2000000000,3.0000000000,0.0000000000,18.0000000000,0.0000000000,2.9000000000,1.1000000000,1.1000000000,2.8567385151,18.0000000000,9136.2909090909,2.9000000000,1.1000000000,1.1000000000,694.5333521619,179.9000000000,3714.8122501409,,60.8762760974,2.9000000000,1.1000000000,1.1000000000,2.0000000000,1.5000000000,0.7000000000,0.7000000000,0.5000000000,247.6001275656,,,6737.2536284221,2.8000000000,1.0000000000,1.0000000000,2.0000000000,2.0000000000,1.0000000000,1.0000000000,0.5000000000,518.0655508628,500.0000000000,1.7000000000,0.6000000000,0.6000000000,2.0000000000,1.5000000000,0.5000000000,1.0000000000,0.5000000000,152.7533796685,29.0000000000,1.4000000000,0.5000000000,0.5000000000,2.0000000000,1.0000000000,0.5000000000,0.7000000000,0.2000000000,0.0000000000,0.0000000000,0.0000000000
