VariableName,Value,VariableAcronym
dataset_name,Tallinn,country
dataset_description,Copy of Estonia,description
transport_activity_tram__tram_25,0,TRAM_COL89
transport_activity_tram__tram_26,0,TRAM_COL90
transport_activity_tram__tram_27,0,TRAM_COL91
transport_activity_tram__tram_28,0,TRAM_COL92
transport_activity_tram__tram_29,0,TRAM_COL93
transport_activity_tram__tram_30,0,TRAM_COL94
transport_activity_tram__tram_31,0,TRAM_COL95
transport_activity_tram__tram_32,0,TRAM_COL96
transport_activity_tram__tram_33,0,TRAM_COL97
transport_activity_tram__tram_34,0,TRAM_COL98
transport_activity_tram__tram_35,0,TRAM_COL99
transport_activity_tram__tram_36,0,TRAM_COL100
transport_activity_tram__tram_37,0,TRAM_COL101
transport_activity_tram__tram_38,0,TRAM_COL102
transport_activity_tram__tram_39,0,TRAM_COL103
transport_activity_tram__tram_40,0,TRAM_COL104
transport_activity_tram__tram_41,0,TRAM_COL105
transport_activity_tram__tram_42,0,TRAM_COL106
transport_activity_tram__tram_43,0,TRAM_COL107
transport_activity_tram__tram_44,0,TRAM_COL108
transport_activity_tram__tram_45,0,TRAM_COL109
transport_activity_tram__tram_46,0,TRAM_COL110
transport_activity_tram__tram_47,0,TRAM_COL111
transport_activity_tram__tram_48,0,TRAM_COL112
transport_activity_tram__tram_49,0,TRAM_COL113
transport_activity_tram__tram_50,0,TRAM_COL114
transport_activity_tram__tram_51,0,TRAM_COL115
transport_activity_tram__tram_52,0,TRAM_COL116
transport_activity_tram__tram_53,0,TRAM_COL117
transport_activity_tram__tram_54,0,TRAM_COL118
transport_activity_tram__tram_55,0,TRAM_COL119
transport_activity_tram__tram_56,0,TRAM_COL120
transport_activity_tram__tram_57,0,TRAM_COL121
transport_activity_tram__tram_58,0,TRAM_COL122
passenger_km_per_capita_train,314,TRAIN_COL1
occupancy_rate_train,179.9,TRAIN_COL2
ef_diesel_train,2647.1,TRAIN_COL3
energy_consumption_electric_train,12.6,TRAIN_COL4
share_of_electric_engines,50,TRAIN_COL5
annual_change_passenger_train__2021_30,2.4,TRAIN_COL6
annual_change_passenger_train__2031_40,1.2,TRAIN_COL7
annual_change_passenger_train__2041_50,1.2,TRAIN_COL8
cf_passenger_train__metropolitan,2,TRAIN_COL9
cf_passenger_train__city,1.5,TRAIN_COL10
cf_passenger_train__suburban,0.7,TRAIN_COL11
cf_passenger_train__town,0.7,TRAIN_COL12
cf_passenger_train__rural,0.5,TRAIN_COL13
vehicle_km_per_capita_rail_freight,117,RAIL_TRN_COL1
ef_diesel_rail_freight,2647.1,RAIL_TRN_COL2
energy_consumption_electric_rail_freight,12.6,RAIL_TRN_COL3
share_of_electric_engines_rail_freight,50,RAIL_TRN_COL4
annual_change_rail_freight__2021_30,2.2,RAIL_TRN_COL5
annual_change_rail_freight__2031_40,1.3,RAIL_TRN_COL6
annual_change_rail_freight__2041_50,1.3,RAIL_TRN_COL7
cf_rail_freight__metropolitan,2,RAIL_TRN_COL8
cf_rail_freight__city,2,RAIL_TRN_COL9
cf_rail_freight__suburban,1,RAIL_TRN_COL10
cf_rail_freight__town,1,RAIL_TRN_COL11
cf_rail_freight__rural,0.5,RAIL_TRN_COL12
average_load_rail_freight,2000,RAIL_TRN_COL13
vehicle_km_per_capita_road_freight,163,ROAD_TRN_COL1
road_transport_emission_factor,500,ROAD_TRN_COL2
annual_change_road_freight__2021_30,1.3,ROAD_TRN_COL3
annual_change_road_freight__2031_40,0.9,ROAD_TRN_COL4
annual_change_road_freight__2041_50,0.9,ROAD_TRN_COL5
cf_road_freight__metropolitan,2,ROAD_TRN_COL6
cf_road_freight__city,1.5,ROAD_TRN_COL7
cf_road_freight__suburban,0.5,ROAD_TRN_COL8
cf_road_freight__town,1,ROAD_TRN_COL9
cf_road_freight__rural,0.5,ROAD_TRN_COL10
propulsion_share_road_freight__petrol_including_hybrids,15.46926636,ROAD_TRN_COL11
propulsion_share_road_freight__lpg,0,ROAD_TRN_COL12
propulsion_share_road_freight__diesel_including_hybrids,84.13637365,ROAD_TRN_COL13
propulsion_share_road_freight__natural_gas,0,ROAD_TRN_COL14
propulsion_share_road_freight__electricity,0.023132849,ROAD_TRN_COL15
propulsion_share_road_freight__alternative_energy,0.371227143,ROAD_TRN_COL16
propulsion_share_road_freight__bioethanol,0,ROAD_TRN_COL17
propulsion_share_road_freight__biodiesel,0,ROAD_TRN_COL18
propulsion_share_road_freight__cng,0,ROAD_TRN_COL19
ef_street_driving_road_freight__petrol_including_hybrids,580,ROAD_TRN_COL20
ef_street_driving_road_freight__lpg,580,ROAD_TRN_COL21
ef_street_driving_road_freight__diesel_including_hybrids,580,ROAD_TRN_COL22
ef_street_driving_road_freight__natural_gas,580,ROAD_TRN_COL23
ef_street_driving_road_freight__electricity,0,ROAD_TRN_COL24
ef_street_driving_road_freight__alternative_energy,580,ROAD_TRN_COL25
ef_street_driving_road_freight__bioethanol,580,ROAD_TRN_COL26
ef_street_driving_road_freight__biodiesel,580,ROAD_TRN_COL27
ef_street_driving_road_freight__cng,580,ROAD_TRN_COL28
ef_road_driving_road_freight__petrol_including_hybrids,370,ROAD_TRN_COL29
ef_road_driving_road_freight__lpg,370,ROAD_TRN_COL30
ef_road_driving_road_freight__diesel_including_hybrids,370,ROAD_TRN_COL31
ef_road_driving_road_freight__natural_gas,370,ROAD_TRN_COL32
ef_road_driving_road_freight__electricity,0,ROAD_TRN_COL33
ef_road_driving_road_freight__alternative_energy,370,ROAD_TRN_COL34
ef_road_driving_road_freight__bioethanol,370,ROAD_TRN_COL35
ef_road_driving_road_freight__biodiesel,370,ROAD_TRN_COL36
ef_road_driving_road_freight__cng,370,ROAD_TRN_COL37
share_road_driving_road_freight__metropolitan_center,0,ROAD_TRN_COL38
share_road_driving_road_freight__urban,10,ROAD_TRN_COL39
share_road_driving_road_freight__suburban,20,ROAD_TRN_COL40
share_road_driving_road_freight__town,70,ROAD_TRN_COL41
share_road_driving_road_freight__rural,100,ROAD_TRN_COL42
average_load_road_freight,1000,ROAD_TRN_COL43
vehicle_km_per_capita_waterways_transport,0,WATER_TRN_COL1
ef_inland_waterways,29,WATER_TRN_COL2
annual_change_waterways_transport__2021_30,1.2,WATER_TRN_COL3
annual_change_waterways_transport__2031_40,0.9,WATER_TRN_COL4
annual_change_waterways_transport__2041_50,0.9,WATER_TRN_COL5
cf_waterways_transport__metropolitan,2,WATER_TRN_COL6
cf_waterways_transport__city,1,WATER_TRN_COL7
cf_waterways_transport__suburban,0.5,WATER_TRN_COL8
cf_waterways_transport__town,0.7,WATER_TRN_COL9
cf_waterways_transport__rural,0.2,WATER_TRN_COL10
average_load_inland_waterways,1500,WATER_TRN_COL11
country_land_area,500,MENU_COL1
factor_inclusion,1,MENU_COL2
menu_options_inland_waterways_intensity__1,none,MENU_COL3
menu_options_inland_waterways_intensity__2,low intensity,MENU_COL4
menu_options_inland_waterways_intensity__3,average intensity,MENU_COL5
menu_options_inland_waterways_intensity__4,high intensity,MENU_COL6
non_residental_passenger_transport_on_road__none,0.5,MENU_COL7
non_residental_passenger_transport_on_road__low_intensity,0.75,MENU_COL8
non_residental_passenger_transport_on_road__average_intensity,1,MENU_COL9
non_residental_passenger_transport_on_road__high_intensity,2,MENU_COL10
freight_transport_by_road__none,0.5,MENU_COL11
freight_transport_by_road__low_intensity,0.75,MENU_COL12
freight_transport_by_road__average_intensity,1,MENU_COL13
freight_transport_by_road__high_intensity,2,MENU_COL14
freight_transport_by_rail__none,0,MENU_COL15
freight_transport_by_rail__low_intensity,0.5,MENU_COL16
freight_transport_by_rail__average_intensity,1,MENU_COL17
freight_transport_by_rail__high_intensity,2,MENU_COL18
freight_transport_by_inland_waterways__none,0,MENU_COL19
freight_transport_by_inland_waterways__low_intensity,0.5,MENU_COL20
freight_transport_by_inland_waterways__average_intensity,1,MENU_COL21
freight_transport_by_inland_waterways__high_intensity,2,MENU_COL22
annual_change_vehicle_efficiency__2021_30,0,TECH_COL1
annual_change_vehicle_efficiency__2031_40,0,TECH_COL2
annual_change_vehicle_efficiency__2041_50,0,TECH_COL3
land_use_baseline_forestland,0,CSC_COL1
land_use_baseline_forestland_annual_change__2021_30,0,CSC_COL2
land_use_baseline_forestland_annual_change__2031_40,0,CSC_COL3
land_use_baseline_forestland_annual_change__2041_50,0,CSC_COL4
land_use_baseline_cropland,0,CSC_COL5
land_use_baseline_cropland_annual_change__2021_30,0,CSC_COL6
land_use_baseline_cropland_annual_change__2031_40,0,CSC_COL7
land_use_baseline_cropland_annual_change__2041_50,0,CSC_COL8
land_use_baseline_grassland,0,CSC_COL9
land_use_baseline_grassland_annual_change__2021_30,0,CSC_COL10
land_use_baseline_grassland_annual_change__2031_40,0,CSC_COL11
land_use_baseline_grassland_annual_change__2041_50,0,CSC_COL12
land_use_baseline_wetlands,0,CSC_COL13
land_use_baseline_wetlands_annual_change__2021_30,0,CSC_COL14
land_use_baseline_wetlands_annual_change__2031_40,0,CSC_COL15
land_use_baseline_wetlands_annual_change__2041_50,0,CSC_COL16
land_use_baseline_settlements,0,CSC_COL17
land_use_baseline_settlements_annual_change__2021_30,0,CSC_COL18
land_use_baseline_settlements_annual_change__2031_40,0,CSC_COL19
land_use_baseline_settlements_annual_change__2041_50,0,CSC_COL20
land_use_baseline_other_land,0,CSC_COL21
land_use_baseline_other_land_annual_change__2021_30,0,CSC_COL22
land_use_baseline_other_land_annual_change__2031_40,0,CSC_COL23
land_use_baseline_other_land_annual_change__2041_50,0,CSC_COL24
cropland_to_forestland__aboveground_biomass,0.11,CSC_COL25
cropland_to_forestland__belowground_biomass,0,CSC_COL26
cropland_to_forestland__dead_wood,0.03,CSC_COL27
cropland_to_forestland__litter,0.3,CSC_COL28
cropland_to_forestland__mineral_soil,0.17,CSC_COL29
cropland_to_forestland__organic_soil,0,CSC_COL30
grassland_to_forestland__aboveground_biomass,0.42,CSC_COL31
grassland_to_forestland__belowground_biomass,0,CSC_COL32
grassland_to_forestland__dead_wood,0.01,CSC_COL33
grassland_to_forestland__litter,0.3,CSC_COL34
grassland_to_forestland__mineral_soil,-0.06,CSC_COL35
grassland_to_forestland__organic_soil,-0.34,CSC_COL36
wetland_to_forestland__aboveground_biomass,0.57,CSC_COL37
wetland_to_forestland__belowground_biomass,0,CSC_COL38
wetland_to_forestland__dead_wood,0.01,CSC_COL39
wetland_to_forestland__litter,0.3,CSC_COL40
wetland_to_forestland__mineral_soil,0,CSC_COL41
wetland_to_forestland__organic_soil,-0.34,CSC_COL42
settlement_to_forestland__aboveground_biomass,0.16,CSC_COL43
settlement_to_forestland__belowground_biomass,0,CSC_COL44
settlement_to_forestland__dead_wood,0.02,CSC_COL45
settlement_to_forestland__litter,0.3,CSC_COL46
settlement_to_forestland__mineral_soil,0.17,CSC_COL47
settlement_to_forestland__organic_soil,-0.34,CSC_COL48
otherland_to_forestland__aboveground_biomass,0.53,CSC_COL49
otherland_to_forestland__belowground_biomass,0,CSC_COL50
otherland_to_forestland__dead_wood,0.02,CSC_COL51
otherland_to_forestland__litter,0.3,CSC_COL52
otherland_to_forestland__mineral_soil,0.17,CSC_COL53
otherland_to_forestland__organic_soil,0,CSC_COL54
forestland_to_cropland__aboveground_biomass,-54.46,CSC_COL55
forestland_to_cropland__belowground_biomass,-12.83,CSC_COL56
forestland_to_cropland__dead_wood,-1.55,CSC_COL57
forestland_to_cropland__litter,0,CSC_COL58
forestland_to_cropland__mineral_soil,-0.77,CSC_COL59
forestland_to_cropland__organic_soil,0,CSC_COL60
grassland_to_cropland__aboveground_biomass,-0.08,CSC_COL61
grassland_to_cropland__belowground_biomass,0,CSC_COL62
grassland_to_cropland__dead_wood,0,CSC_COL63
grassland_to_cropland__litter,0,CSC_COL64
grassland_to_cropland__mineral_soil,-0.42,CSC_COL65
grassland_to_cropland__organic_soil,-6.1,CSC_COL66
wetland_to_cropland__aboveground_biomass,0,CSC_COL67
wetland_to_cropland__belowground_biomass,0,CSC_COL68
wetland_to_cropland__dead_wood,0,CSC_COL69
wetland_to_cropland__litter,0,CSC_COL70
wetland_to_cropland__mineral_soil,0,CSC_COL71
wetland_to_cropland__organic_soil,0,CSC_COL72
settlement_to_cropland__aboveground_biomass,0,CSC_COL73
settlement_to_cropland__belowground_biomass,0,CSC_COL74
settlement_to_cropland__dead_wood,0,CSC_COL75
settlement_to_cropland__litter,0,CSC_COL76
settlement_to_cropland__mineral_soil,0,CSC_COL77
settlement_to_cropland__organic_soil,0,CSC_COL78
otherland_to_cropland__aboveground_biomass,0,CSC_COL79
otherland_to_cropland__belowground_biomass,0,CSC_COL80
otherland_to_cropland__dead_wood,0,CSC_COL81
otherland_to_cropland__litter,0,CSC_COL82
otherland_to_cropland__mineral_soil,0,CSC_COL83
otherland_to_cropland__organic_soil,0,CSC_COL84
forestland_to_grassland__aboveground_biomass,-54.46,CSC_COL85
forestland_to_grassland__belowground_biomass,-12.83,CSC_COL86
forestland_to_grassland__dead_wood,-0.83,CSC_COL87
forestland_to_grassland__litter,0,CSC_COL88
forestland_to_grassland__mineral_soil,0.08,CSC_COL89
forestland_to_grassland__organic_soil,-1.43,CSC_COL90
cropland_to_grassland__aboveground_biomass,0.17,CSC_COL91
cropland_to_grassland__belowground_biomass,0,CSC_COL92
cropland_to_grassland__dead_wood,0,CSC_COL93
cropland_to_grassland__litter,0,CSC_COL94
cropland_to_grassland__mineral_soil,0.56,CSC_COL95
cropland_to_grassland__organic_soil,-6.1,CSC_COL96
wetland_to_grassland__aboveground_biomass,0.17,CSC_COL97
wetland_to_grassland__belowground_biomass,0,CSC_COL98
wetland_to_grassland__dead_wood,0,CSC_COL99
wetland_to_grassland__litter,0,CSC_COL100
wetland_to_grassland__mineral_soil,0,CSC_COL101
wetland_to_grassland__organic_soil,-1.43,CSC_COL102
settlement_to_grassland__aboveground_biomass,0.17,CSC_COL103
settlement_to_grassland__belowground_biomass,0,CSC_COL104
settlement_to_grassland__dead_wood,0,CSC_COL105
settlement_to_grassland__litter,0,CSC_COL106
settlement_to_grassland__mineral_soil,0.11,CSC_COL107
settlement_to_grassland__organic_soil,0,CSC_COL108
otherland_to_grassland__aboveground_biomass,0.17,CSC_COL109
otherland_to_grassland__belowground_biomass,0,CSC_COL110
otherland_to_grassland__dead_wood,0,CSC_COL111
otherland_to_grassland__litter,0,CSC_COL112
otherland_to_grassland__mineral_soil,0.11,CSC_COL113
otherland_to_grassland__organic_soil,0,CSC_COL114
land_to_peat_extraction__aboveground_biomass,0,CSC_COL115
land_to_peat_extraction__belowground_biomass,0,CSC_COL116
land_to_peat_extraction__dead_wood,0,CSC_COL117
land_to_peat_extraction__litter,0,CSC_COL118
land_to_peat_extraction__mineral_soil,0,CSC_COL119
land_to_peat_extraction__organic_soil,-1.74,CSC_COL120
peatland_restoration__aboveground_biomass,0,CSC_COL121
peatland_restoration__belowground_biomass,0,CSC_COL122
peatland_restoration__dead_wood,0,CSC_COL123
peatland_restoration__litter,0,CSC_COL124
peatland_restoration__mineral_soil,0,CSC_COL125
peatland_restoration__organic_soil,0,CSC_COL126
forestland_to_other_wetland__aboveground_biomass,0,CSC_COL127
forestland_to_other_wetland__belowground_biomass,0,CSC_COL128
forestland_to_other_wetland__dead_wood,0,CSC_COL129
forestland_to_other_wetland__litter,0,CSC_COL130
forestland_to_other_wetland__mineral_soil,0,CSC_COL131
forestland_to_other_wetland__organic_soil,0,CSC_COL132
cropland_to_other_wetland__aboveground_biomass,0,CSC_COL133
cropland_to_other_wetland__belowground_biomass,0,CSC_COL134
cropland_to_other_wetland__dead_wood,0,CSC_COL135
cropland_to_other_wetland__litter,0,CSC_COL136
cropland_to_other_wetland__mineral_soil,0,CSC_COL137
cropland_to_other_wetland__organic_soil,0,CSC_COL138
grassland_to_other_wetland__aboveground_biomass,0,CSC_COL139
grassland_to_other_wetland__belowground_biomass,0,CSC_COL140
grassland_to_other_wetland__dead_wood,0,CSC_COL141
grassland_to_other_wetland__litter,0,CSC_COL142
grassland_to_other_wetland__mineral_soil,0,CSC_COL143
grassland_to_other_wetland__organic_soil,0,CSC_COL144
forestland_to_settlement__aboveground_biomass,-54.46,CSC_COL145
forestland_to_settlement__belowground_biomass,-12.83,CSC_COL146
forestland_to_settlement__dead_wood,-0.58,CSC_COL147
forestland_to_settlement__litter,0,CSC_COL148
forestland_to_settlement__mineral_soil,-1.62,CSC_COL149
forestland_to_settlement__organic_soil,-2.25,CSC_COL150
cropland_to_settlement__aboveground_biomass,0,CSC_COL151
cropland_to_settlement__belowground_biomass,0,CSC_COL152
cropland_to_settlement__dead_wood,0,CSC_COL153
cropland_to_settlement__litter,0,CSC_COL154
cropland_to_settlement__mineral_soil,-2.67,CSC_COL155
cropland_to_settlement__organic_soil,-6.1,CSC_COL156
grassland_to_settlement__aboveground_biomass,-0.11,CSC_COL157
grassland_to_settlement__belowground_biomass,0,CSC_COL158
grassland_to_settlement__dead_wood,0,CSC_COL159
grassland_to_settlement__litter,0,CSC_COL160
grassland_to_settlement__mineral_soil,-0.55,CSC_COL161
grassland_to_settlement__organic_soil,0,CSC_COL162
wetland_to_settlement__aboveground_biomass,0,CSC_COL163
wetland_to_settlement__belowground_biomass,0,CSC_COL164
wetland_to_settlement__dead_wood,0,CSC_COL165
wetland_to_settlement__litter,0,CSC_COL166
wetland_to_settlement__mineral_soil,0,CSC_COL167
wetland_to_settlement__organic_soil,0,CSC_COL168
otherland_to_settlement__aboveground_biomass,0,CSC_COL169
otherland_to_settlement__belowground_biomass,0,CSC_COL170
otherland_to_settlement__dead_wood,0,CSC_COL171
otherland_to_settlement__litter,0,CSC_COL172
otherland_to_settlement__mineral_soil,-1.13,CSC_COL173
otherland_to_settlement__organic_soil,0,CSC_COL174
forestland_to_otherland__aboveground_biomass,-54.46,CSC_COL175
forestland_to_otherland__belowground_biomass,-12.83,CSC_COL176
forestland_to_otherland__dead_wood,-0.61,CSC_COL177
forestland_to_otherland__litter,0,CSC_COL178
