local dataset name,factor_name,value
DEMO Tallinn,transport_activity_tram--tram_38,0
DEMO Tallinn,transport_activity_tram--tram_39,0
DEMO Tallinn,transport_activity_tram--tram_40,0
DEMO Tallinn,transport_activity_tram--tram_41,0
DEMO Tallinn,transport_activity_tram--tram_42,0
DEMO Tallinn,transport_activity_tram--tram_43,0
DEMO Tallinn,transport_activity_tram--tram_44,0
DEMO Tallinn,transport_activity_tram--tram_45,0
DEMO Tallinn,transport_activity_tram--tram_46,0
DEMO Tallinn,transport_activity_tram--tram_47,0
DEMO Tallinn,transport_activity_tram--tram_48,0
DEMO Tallinn,transport_activity_tram--tram_49,0
DEMO Tallinn,transport_activity_tram--tram_50,0
DEMO Tallinn,transport_activity_tram--tram_51,0
DEMO Tallinn,transport_activity_tram--tram_52,0
DEMO Tallinn,transport_activity_tram--tram_53,0
DEMO Tallinn,transport_activity_tram--tram_54,0
DEMO Tallinn,transport_activity_tram--tram_55,0
DEMO Tallinn,transport_activity_tram--tram_56,0
DEMO Tallinn,transport_activity_tram--tram_57,0
DEMO Tallinn,transport_activity_tram--tram_58,0
DEMO Tallinn,passenger-km_per_capita_train,313.5178051
DEMO Tallinn,occupancy_rate_train,179.9
DEMO Tallinn,ef_diesel_train,2647.08
DEMO Tallinn,energy_consumption_electric_train,12.64
DEMO Tallinn,share_of_electric_engines,50
DEMO Tallinn,annual_change_passenger_train--2021-30,0
DEMO Tallinn,annual_change_passenger_train--2031-40,0
DEMO Tallinn,annual_change_passenger_train--2041-50,0
DEMO Tallinn,cf_passenger_train--metropolitan,1
DEMO Tallinn,cf_passenger_train--city,1
DEMO Tallinn,cf_passenger_train--suburban,1
DEMO Tallinn,cf_passenger_train--town,1
DEMO Tallinn,cf_passenger_train--rural,1
DEMO Tallinn,vehicle-km_per_capita_rail_freight,117.2849631
DEMO Tallinn,ef_diesel_rail_freight,2647.08
DEMO Tallinn,energy_consumption_electric_rail_freight,12.64
DEMO Tallinn,share_of_electric_engines_rail_freight,50
DEMO Tallinn,annual_change_rail_freight--2021-30,0
DEMO Tallinn,annual_change_rail_freight--2031-40,0
DEMO Tallinn,annual_change_rail_freight--2041-50,0
DEMO Tallinn,cf_rail_freight--metropolitan,1
DEMO Tallinn,cf_rail_freight--city,1
DEMO Tallinn,cf_rail_freight--suburban,1
DEMO Tallinn,cf_rail_freight--town,1
DEMO Tallinn,cf_rail_freight--rural,1
DEMO Tallinn,average_load_rail_freight,2000
DEMO Tallinn,vehicle-km_per_capita_road_freight,1000
DEMO Tallinn,road_transport_emission_factor,0
DEMO Tallinn,annual_change_road_freight--2021-30,0
DEMO Tallinn,annual_change_road_freight--2031-40,0
DEMO Tallinn,annual_change_road_freight--2041-50,0
DEMO Tallinn,cf_road_freight--metropolitan,1
DEMO Tallinn,cf_road_freight--city,1
DEMO Tallinn,cf_road_freight--suburban,1
DEMO Tallinn,cf_road_freight--town,1
DEMO Tallinn,cf_road_freight--rural,1
DEMO Tallinn,propulsion_share_road_freight--petrol_including_hybrids,0
DEMO Tallinn,propulsion_share_road_freight--lpg,84.13637365
DEMO Tallinn,propulsion_share_road_freight--diesel_including_hybrids,0
DEMO Tallinn,propulsion_share_road_freight--natural_gas,0.023132849
DEMO Tallinn,propulsion_share_road_freight--electricity,0.371227143
DEMO Tallinn,propulsion_share_road_freight--alternative_energy,0
DEMO Tallinn,propulsion_share_road_freight--bioethanol,0
DEMO Tallinn,propulsion_share_road_freight--biodiesel,0
DEMO Tallinn,propulsion_share_road_freight--cng,0
DEMO Tallinn,ef_street_driving_road_freight--petrol_including_hybrids,580
DEMO Tallinn,ef_street_driving_road_freight--lpg,580
DEMO Tallinn,ef_street_driving_road_freight--diesel_including_hybrids,580
DEMO Tallinn,ef_street_driving_road_freight--natural_gas,0
DEMO Tallinn,ef_street_driving_road_freight--electricity,580
DEMO Tallinn,ef_street_driving_road_freight--alternative_energy,580
DEMO Tallinn,ef_street_driving_road_freight--bioethanol,580
DEMO Tallinn,ef_street_driving_road_freight--biodiesel,580
DEMO Tallinn,ef_street_driving_road_freight--cng,0
DEMO Tallinn,ef_road_driving_road_freight--petrol_including_hybrids,370
DEMO Tallinn,ef_road_driving_road_freight--lpg,370
DEMO Tallinn,ef_road_driving_road_freight--diesel_including_hybrids,370
DEMO Tallinn,ef_road_driving_road_freight--natural_gas,0
DEMO Tallinn,ef_road_driving_road_freight--electricity,370
DEMO Tallinn,ef_road_driving_road_freight--alternative_energy,370
DEMO Tallinn,ef_road_driving_road_freight--bioethanol,370
DEMO Tallinn,ef_road_driving_road_freight--biodiesel,370
DEMO Tallinn,ef_road_driving_road_freight--cng,0
DEMO Tallinn,share_road_driving_road_freight--metropolitan_center,10
DEMO Tallinn,share_road_driving_road_freight--urban,20
DEMO Tallinn,share_road_driving_road_freight--suburban,70
DEMO Tallinn,share_road_driving_road_freight--town,100
DEMO Tallinn,share_road_driving_road_freight--rural,0
DEMO Tallinn,average_load_road_freight,0
DEMO Tallinn,vehicle-km_per_capita_waterways_transport,29
DEMO Tallinn,ef_inland_waterways,0
DEMO Tallinn,annual_change_waterways_transport--2021-30,0
DEMO Tallinn,annual_change_waterways_transport--2031-40,0
DEMO Tallinn,annual_change_waterways_transport--2041-50,0
DEMO Tallinn,cf_waterways_transport--metropolitan,1
DEMO Tallinn,cf_waterways_transport--city,1
DEMO Tallinn,cf_waterways_transport--suburban,1
DEMO Tallinn,cf_waterways_transport--town,1
DEMO Tallinn,cf_waterways_transport--rural,1
DEMO Tallinn,average_load_inland_waterways,0
DEMO Tallinn,country_land_area,0
DEMO Tallinn,factor_inclusion,0
DEMO Tallinn,menu_options_inland_waterways_intensity--1,-
DEMO Tallinn,menu_options_inland_waterways_intensity--2,-
DEMO Tallinn,menu_options_inland_waterways_intensity--3,-
DEMO Tallinn,menu_options_inland_waterways_intensity--4,-
DEMO Tallinn,non-residental_passenger_transport_on_road--none,-
DEMO Tallinn,non-residental_passenger_transport_on_road--low_intensity,-
DEMO Tallinn,non-residental_passenger_transport_on_road--average_intensity,-
DEMO Tallinn,non-residental_passenger_transport_on_road--high_intensity,-
DEMO Tallinn,freight_transport_by_road--none,-
DEMO Tallinn,freight_transport_by_road--low_intensity,-
DEMO Tallinn,freight_transport_by_road--average_intensity,-
DEMO Tallinn,freight_transport_by_road--high_intensity,-
DEMO Tallinn,freight_transport_by_rail--none,-
DEMO Tallinn,freight_transport_by_rail--low_intensity,-
DEMO Tallinn,freight_transport_by_rail--average_intensity,-
DEMO Tallinn,freight_transport_by_rail--high_intensity,-
DEMO Tallinn,freight_transport_by_inland_waterways--none,-
DEMO Tallinn,freight_transport_by_inland_waterways--low_intensity,-
DEMO Tallinn,freight_transport_by_inland_waterways--average_intensity,-
DEMO Tallinn,freight_transport_by_inland_waterways--high_intensity,-
DEMO Tallinn,annual_change_vehicle_efficiency--2021-30,0
DEMO Tallinn,annual_change_vehicle_efficiency--2031-40,0
DEMO Tallinn,annual_change_vehicle_efficiency--2041-50,0
DEMO Tallinn,land_use_baseline_forestland,0
DEMO Tallinn,land_use_baseline_forestland_annual_change--2021-30,0
DEMO Tallinn,land_use_baseline_forestland_annual_change--2031-40,0
DEMO Tallinn,land_use_baseline_forestland_annual_change--2041-50,0
DEMO Tallinn,land_use_baseline_cropland,0
DEMO Tallinn,land_use_baseline_cropland_annual_change--2021-30,0
DEMO Tallinn,land_use_baseline_cropland_annual_change--2031-40,0
DEMO Tallinn,land_use_baseline_cropland_annual_change--2041-50,0
DEMO Tallinn,land_use_baseline_grassland,0
DEMO Tallinn,land_use_baseline_grassland_annual_change--2021-30,0
DEMO Tallinn,land_use_baseline_grassland_annual_change--2031-40,0
DEMO Tallinn,land_use_baseline_grassland_annual_change--2041-50,0
DEMO Tallinn,land_use_baseline_wetlands,0
DEMO Tallinn,land_use_baseline_wetlands_annual_change--2021-30,0
DEMO Tallinn,land_use_baseline_wetlands_annual_change--2031-40,0
DEMO Tallinn,land_use_baseline_wetlands_annual_change--2041-50,0
DEMO Tallinn,land_use_baseline_settlements,0
DEMO Tallinn,land_use_baseline_settlements_annual_change--2021-30,0
DEMO Tallinn,land_use_baseline_settlements_annual_change--2031-40,0
DEMO Tallinn,land_use_baseline_settlements_annual_change--2041-50,0
DEMO Tallinn,land_use_baseline_other_land,0
DEMO Tallinn,land_use_baseline_other_land_annual_change--2021-30,0
DEMO Tallinn,land_use_baseline_other_land_annual_change--2031-40,0
DEMO Tallinn,land_use_baseline_other_land_annual_change--2041-50,0
DEMO Tallinn,cropland_to_forestland--aboveground_biomass,0.527747413
DEMO Tallinn,cropland_to_forestland--belowground_biomass,0
DEMO Tallinn,cropland_to_forestland--dead_wood,0.018422926
DEMO Tallinn,cropland_to_forestland--litter,0.3
DEMO Tallinn,cropland_to_forestland--mineral_soil,0.17
DEMO Tallinn,cropland_to_forestland--organic_soil,0
DEMO Tallinn,grassland_to_forestland--aboveground_biomass,-54.46
DEMO Tallinn,grassland_to_forestland--belowground_biomass,-12.83
DEMO Tallinn,grassland_to_forestland--dead_wood,-1.552778148
DEMO Tallinn,grassland_to_forestland--litter,0
DEMO Tallinn,grassland_to_forestland--mineral_soil,-0.769255151
DEMO Tallinn,grassland_to_forestland--organic_soil,0
DEMO Tallinn,wetland_to_forestland--aboveground_biomass,-0.077255325
DEMO Tallinn,wetland_to_forestland--belowground_biomass,0
DEMO Tallinn,wetland_to_forestland--dead_wood,-0.001679777
DEMO Tallinn,wetland_to_forestland--litter,0
DEMO Tallinn,wetland_to_forestland--mineral_soil,-0.422266974
DEMO Tallinn,wetland_to_forestland--organic_soil,-6.1
DEMO Tallinn,settlement_to_forestland--aboveground_biomass,0
